original_order,id,title,multiauthored,authors,repeat_author
51,199026522,Middle of the Night,0,Riley Sager,1
52,157062582,The Mystery Guest,0,Nita Prose,1
53,127280429,Darling Girls,0,Sally Hepworth,1
54,126919284,The Heiress,0,Rachel Hawkins,1
55,203579177,The Last One at the Wedding,0,Jason Rekulak,1
56,207299448,The Night We Lost Him,0,Laura Dave,1
57,199798460,The Return of Ellie Black,0,Emiko Jean,1
58,202102003,Society of Lies,0,Lauren Ling Brown,0
59,195790531,House of Glass,0,Sarah Pekkanen,1
60,203687982,Not What She Seems,0,Yasmin Angoe,0
61,194803835,Funny Story,0,Emily Henry,1
62,195820804,Just for the Summer,0,Abby Jimenez,1
63,181350327,Bride,0,Ali Hazelwood,1
64,127611580,Leather & Lark,0,Brynne Weaver,0
65,215192073,Play Along,0,Liz Tomforde,1
66,175399563,King of Sloth,0,Ana Huang,1
67,195645746,Wild Love,0,Elsie Silver,1
68,210163133,The Cinnamon Bun Book Store,0,Laurie Gilmore,0
69,199797582,The Paradise Problem,0,Christina Lauren,1
70,197639422,This Summer Will Be Different,0,Carley Fortune,1
71,199440249,The Pairing,0,Casey McQuiston,1
72,199798652,Daydream,0,Hannah Grace,1
73,195790586,The Rom-Commers,0,Katherine Center,1
74,198972014,Not in Love,0,Ali Hazelwood,1
75,182761439,This Could Be Us,0,Kennedy Ryan,0
76,195532965,Swift and Saddled,0,Lyla Sage,0
77,173404023,A Love Song for Ricki Wilde,0,Tia Williams,1
78,212432167,How to End a Love Story,0,Yulin Kuang,0
79,199928276,The Love of My Afterlife,0,Kirsty Greenwood,0
80,197144545,Lies and Weddings,0,Kevin Kwan,1
81,123211531,House of Flame and Shadow,0,Sarah J. Maas,1
82,188563943,Apprentice to the Villain,0,Hannah Nicole Maehrer,1
83,212127083,Quicksilver,0,Callie Hart,0
84,210714656,When the Moon Hatched,0,Sarah A. Parker,0
85,217206125,The Spellshop,0,Sarah Beth Durst,0
86,165940202,A Fate Inked in Blood,0,Danielle L. Jensen,1
87,204593914,Phantasma,0,Kaylie Smith,0
88,211000011,Restless Stars,1,Caroline Peckham,1
88,211000011,Restless Stars,1,Susanne Valenti,1
89,195791703,Born of Blood and Ash,0,Jennifer L. Armentrout,1
90,112975207,A Touch of Chaos,0,Scarlett St. Clair,1
91,196726166,The Honey Witch,0,Sydney J. Shields,0
92,157981739,Faebound,0,Saara El-Arifi,0
93,174146852,A Dark and Drowning Tide,0,Allison Saft,0
94,216595852,Blood of Hercules,0,Jasmine Mas,0
95,203579254,The Games Gods Play,0,Abigail Owen,0
96,199420141,Gold,0,Raven Kennedy,0
97,209779568,The Veiled Kingdom,0,Holly Renee,0
98,205477220,A Crown This Cold and Heavy,0,Stacia Stark,1
99,195430860,Fate of the Sun King,0,Nisha J. Tuli,1
100,198797574,A Promise of Peridot,0,Kate Golden,1
101,199347538,Somewhere Beyond the Sea,0,T.J. Klune,1
102,133286777,The Familiar,0,Leigh Bardugo,1
103,134117196,Emily Wilde’s Map of the Otherlands,0,Heather Fawcett,1
104,156009464,The Book of Doors,0,Gareth Brown,0
105,126918599,Empire of the Damned,0,Jay Kristoff,1
106,201608152,Five Broken Blades,0,Mai Corland,0
107,127278666,The Fox Wife,0,Yangsze Choo,1
