genre,count,regex that matches,formula text
"Fae,",51,TRUE,"=REGEXMATCH (A101, ""^Fae,|, Fae,|, Fae$"")"
"Technology,",51,TRUE,"=REGEXMATCH (A102, ""Technology"")"
"Young Adult Contemporary,",51,TRUE,"=REGEXMATCH (A103, ""Young Adult Contemporary"")"
"Coming Of Age,",50,TRUE,"=REGEXMATCH (A104, ""Coming Of Age"")"
"Gothic,",50,TRUE,"=REGEXMATCH (A105, ""^Gothic,|, Gothic,|, Gothic$"")"
"Lesbian,",50,TRUE,"=REGEXMATCH (A106, ""Lesbian"")"
"Religion,",48,TRUE,"=REGEXMATCH (A107, ""Religion"")"
"Fairy Tales,",47,TRUE,"=REGEXMATCH (A108, ""Fairy Tales"")"
"Food and Drink,",47,TRUE,"=REGEXMATCH (A109, ""Food and Drink"")"
"Aliens,",43,TRUE,"=REGEXMATCH (A110, ""Aliens"")"
"Environment,",42,TRUE,"=REGEXMATCH (A111, ""^Environment,|, Environment,|, Environment$"")"
"Friends To Lovers,",42,TRUE,"=REGEXMATCH (A112, ""Friends To Lovers"")"
"Womens,",42,TRUE,"=REGEXMATCH (A113, ""Womens,|, Womens$"")"
"Erotica,",41,TRUE,"=REGEXMATCH (A114, ""Erotica"")"
"Parenting,",39,TRUE,"=REGEXMATCH (A115, ""Parenting"")"
"Asia,",38,TRUE,"=REGEXMATCH (A116, ""^Asia,|, Asia,|, Asia$"")"
"Nutrition,",38,TRUE,"=REGEXMATCH (A117, ""Nutrition"")"
"Speculative Fiction,",38,TRUE,"=REGEXMATCH (A118, ""Speculative Fiction"")"
"Economics,",37,TRUE,"=REGEXMATCH (A119, ""Economics"")"
"Zombies,",37,TRUE,"=REGEXMATCH (A120, ""Zombies"")"
"Biology,",36,TRUE,"=REGEXMATCH (A121, ""Biology"")"
"Medicine,",36,TRUE,"=REGEXMATCH (A122, ""Medicine"")"
"Dragons,",35,TRUE,"=REGEXMATCH (A123, ""Dragons"")"
"Superheroes,",34,TRUE,"=REGEXMATCH (A124, ""Superheroes"")"
"Africa,",32,TRUE,"=REGEXMATCH (A125, ""^Africa,|, Africa,|, Africa$"")"
"Literature,",32,TRUE,"=REGEXMATCH (A126, ""^Literature,|, Literature,|, Literature$"")"
"Novella,",32,TRUE,"=REGEXMATCH (A127, ""Novella"")"
"Canada,",31,TRUE,"=REGEXMATCH (A128, ""Canada"")"
"Historical Romance,",31,TRUE,"=REGEXMATCH (A129, ""Historical Romance"")"
"Comic Book,",30,TRUE,"=REGEXMATCH (A130, ""Comic Book"")"
"Ghosts,",30,TRUE,"=REGEXMATCH (A131, ""Ghosts"")"
"China,",29,TRUE,"=REGEXMATCH (A132, ""China"")"
"Medical,",29,TRUE,"=REGEXMATCH (A133, ""Medical"")"
"Supernatural,",29,TRUE,"=REGEXMATCH (A134, ""Supernatural"")"
"British Literature,",28,TRUE,"=REGEXMATCH (A135, ""British Literature"")"
"Indigenous,",28,TRUE,"=REGEXMATCH (A136, ""Indigenous"")"
"Steampunk,",28,TRUE,"=REGEXMATCH (A137, ""Steampunk"")"
"Culinary,",27,TRUE,"=REGEXMATCH (A138, ""Culinary"")"
"Leadership,",27,TRUE,"=REGEXMATCH (A139, ""Leadership"")"
"High School,",26,TRUE,"=REGEXMATCH (A140, ""High School"")"
"Psychological Thriller,",26,TRUE,"=REGEXMATCH (A141, ""Psychological Thriller"")"
"Vegan,",26,TRUE,"=REGEXMATCH (A142, ""Vegan"")"
"Christian,",25,TRUE,"=REGEXMATCH (A143, ""^Christian,|, Christian,|, Christian$"")"
"Dark Romance,",25,TRUE,"=REGEXMATCH (A144, ""Dark Romance"")"
"Shapeshifters,",25,TRUE,"=REGEXMATCH (A145, ""Shapeshifters"")"
"France,",24,TRUE,"=REGEXMATCH (A146, ""France"")"
"Grief,",24,TRUE,"=REGEXMATCH (A147, ""Grief"")"
"Pop Culture,",24,TRUE,"=REGEXMATCH (A148, ""Pop Culture"")"
"India,",23,TRUE,"=REGEXMATCH (A149, ""^India,|, India,|, India$"")"
"Mental Illness,",23,TRUE,"=REGEXMATCH (A150, ""Mental Illness"")"
"Cultural,",22,TRUE,"=REGEXMATCH (A151, ""Cultural"")"
"Abuse,",21,TRUE,"=REGEXMATCH (A152, ""Abuse"")"
"American,",20,TRUE,"=REGEXMATCH (A153, ""^American,|, American,|, American$"")"
"Ireland,",20,TRUE,"=REGEXMATCH (A154, ""Ireland"")"
"Love,",20,TRUE,"=REGEXMATCH (A155, ""^Love,|, Love,|, Love$"")"
"New York,",20,TRUE,"=REGEXMATCH (A156, ""New York"")"
"Productivity,",20,TRUE,"=REGEXMATCH (A157, ""Productivity"")"
"Romantic Suspense,",20,TRUE,"=REGEXMATCH (A158, ""Romantic Suspense"")"
"Sports Romance,",20,TRUE,"=REGEXMATCH (A159, ""Sports Romance"")"
"Teen,",20,TRUE,"=REGEXMATCH (A160, ""Teen"")"
"Action,",19,TRUE,"=REGEXMATCH (A161, ""Action"")"
"Apocalyptic,",19,TRUE,"=REGEXMATCH (A162, ""Apocalyptic"")"
"Dark,",19,TRUE,"=REGEXMATCH (A163, ""^Dark,|, Dark,|, Dark$"")"
"Death,",19,TRUE,"=REGEXMATCH (A164, ""Death"")"
"Greek Mythology,",19,TRUE,"=REGEXMATCH (A165, ""Greek Mythology"")"
"Physics,",19,TRUE,"=REGEXMATCH (A166, ""Physics"")"
"Russia,",19,TRUE,"=REGEXMATCH (A167, ""^Russia,|, Russia,|, Russia$"")"
"School,",19,TRUE,"=REGEXMATCH (A168, ""School"")"
"Werewolves,",19,TRUE,"=REGEXMATCH (A169, ""Werewolves"")"
"Asian Literature,",18,TRUE,"=REGEXMATCH (A170, ""Asian Literature"")"
"Climate Change,",18,TRUE,"=REGEXMATCH (A171, ""^Climate Change,|, Climate Change,|, Climate Change$"")"
"College,",18,TRUE,"=REGEXMATCH (A172, ""College"")"
"Holocaust,",18,TRUE,"=REGEXMATCH (A173, ""Holocaust"")"
"Writing,",18,TRUE,"=REGEXMATCH (A174, ""Writing"")"
"Young Adult Romance,",18,TRUE,"=REGEXMATCH (A175, ""Young Adult Romance"")"
"Detective,",17,TRUE,"=REGEXMATCH (A176, ""Detective"")"
"Manga,",17,TRUE,"=REGEXMATCH (A177, ""Manga"")"
"Native American,",17,TRUE,"=REGEXMATCH (A178, ""Native American"")"
"Anthologies,",16,TRUE,"=REGEXMATCH (A179, ""Anthologies"")"
"Espionage,",16,TRUE,"=REGEXMATCH (A180, ""Espionage"")"
"Presidents,",16,TRUE,"=REGEXMATCH (A181, ""Presidents"")"
"Westerns,",16,TRUE,"=REGEXMATCH (A182, ""Westerns"")"
"Birds,",15,TRUE,"=REGEXMATCH (A183, ""Birds"")"
"Dark Fantasy,",15,TRUE,"=REGEXMATCH (A184, ""Dark Fantasy"")"
"Demons,",15,TRUE,"=REGEXMATCH (A185, ""Demons"")"
"Marvel,",15,TRUE,"=REGEXMATCH (A186, ""Marvel"")"
"Second Chance,",15,TRUE,"=REGEXMATCH (A187, ""Second Chance"")"
