id,title,genres,fiction_subject,audiobook_subject,nonfiction_subject,fantasy_subject,romance_subject,contemporary_subject,young adult_subject,adult_subject,mystery_subject,biography_subject,memoir_subject,historical fiction_subject,thriller_subject,historical_subject,science_fiction_subject,history_subject,humor_subject,horror_subject,lgbt_subject,mystery_thriller_subject
181350367,How to Solve Your Own Murder,"Mystery, Fiction, Mystery Thriller, Audiobook, Thriller, Cozy Mystery, Crime, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
199026522,Middle of the Night,"Thriller, Mystery, Mystery Thriller, Fiction, Horror, Audiobook, Suspense, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
157062582,The Mystery Guest,"Mystery, Fiction, Audiobook, Mystery Thriller, Thriller, Cozy Mystery, Crime, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
127280429,Darling Girls,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Adult, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
126919284,The Heiress,"Mystery, Thriller, Fiction, Mystery Thriller, Audiobook, Suspense, Adult, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
203579177,The Last One at the Wedding,"Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense, Horror, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
207299448,The Night We Lost Him,"Mystery, Fiction, Thriller, Audiobook, Mystery Thriller, Adult, Suspense, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
199798460,The Return of Ellie Black,"Mystery, Thriller, Mystery Thriller, Fiction, Audiobook, Suspense, Crime, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
202102003,Society of Lies,"Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Crime, Suspense, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
195790531,House of Glass,"Thriller, Mystery, Mystery Thriller, Fiction, Audiobook, Suspense, Psychological Thriller, ...more",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
